term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
zuckt,Leo zuckt mit den Schultern.,en,"twitch, jerk, shrug",,
plaudern,bei der Haustür und plaudern den ganzen Abend,en,"chatter, babble, chat, talk, converse, confabulate, talk about trivial matters, make small talk",,
doppelt,man die Tür jetzt doppelt zu,en,double,,
gespenst,"der Treppe war ein Gespenst - husch, und dann war",en,"bogeyman, monster, bogy, goblin, ghost",,
heimweh,Sesemann: „Das Kind hat Heimweh,en,"(das) homesickness, nostalgia",,
herbsttag,…schon wieder ein grauer Herbsttag in Wien... Gibt es…,en,Autumn day,,
mager,Es ist ganz mager und krank und muss,en,"thin, lean, skinny",,
wolken,"Dicke Wolken hängen über der Stadt,…",en,"(die, -n) clouds",,
trieb,Und ich trieb ihn weiter mit der...,en,"n.  drive, desire, urge, inclination, instinct; shoot",,
lautet,Mein Arztrezept lautet: Morgen reist das Kind,en,"sound, be heard, produce a sound",,
ursprünglich,Kommen Sie ursprünglich auch aus dem Osten?,en,"originally, initially",,
sportsendungen,...ich schaue nicht gerne Sportsendungen an.,en,(die) Sports broadcasts,,
ski laufen,Ich liebe Fußball und Ski laufen.,uk,(der) займатися лижним спортом,,
ausgezeichnetes,Es ist sogar ein ausgezeichnetes Restaurant.,en,"outstanding, excellent",,
ober,"...bestellen, da kommt der Ober.",uk,(der) офіціант,,
auswärts,...es ist teuer hier auswärts zu essen.,en,"out, outward, externally",,
übertragen,...ein Fußballspiel im Fernsehen übertragen.,en,"to broadcast, transmit",,
nu,...die Zeit vergeht im Nu.,en,"quickly, fast, no time",,
ski,Ich liebe Fußball und Ski laufen.,uk,лижний,,
bevorzugen,Welche Art von Restaurants bevorzugen Sie?,en,"choose, prefer, favor; give precedence, give priority, put before other things;",,
vertreter,...einer großen Firma als Vertreter.,en,"representative, agent",,
gelegenen,...ich in die nahe gelegenen Berge.,en,located,,
bedienen,...werde Sie heute Abend bedienen.,en,"handle (noun), serve (verb)",,
daheim,Normalerweise koche ich daheim.,en,"at home, at one's residence",,
festhalten,...an Ihrer Entscheidung auch festhalten.,en,to hold tight,,
mehrmals,Ich war schon mehrmals hier.,uk,кілька разів,,
beziehungen,In vielen Beziehungen bin ich es.,en,"relationships, connections",,
entschieden,"So, haben Sie entschieden?",en,"decided, determined; absolute, definite, staunch",,
ausgeraubt,Jemand hat meine Großeltern ausgeraubt. Mein Opa ist jetzt...,en,"robbed, stole",,
freiheiten,...ich habe auch viele Freiheiten.,en,"(die) liberties, freedoms, freeness",,
erfolgreich,"Um erfolgreich zu sein, müssen Sie...",en,successfully; successful,,
hingehe,"Ob ich nun hingehe oder nicht, ich sollte...",en,"go away, leave; go there",,
unzufrieden,"...Sie mit Ihrer Arbeit unzufrieden sind, sollten Sie etwas...",en,"discontented, unhappy, not satisfied",,
vermute,"Naja, ich vermute Sie haben zu entscheiden...",en,"to assume, guess, suspect",,
verantwortung,...entscheiden ob Sie mehr Verantwortung übernehmen wollen oder nicht.,en,responsibility,,
befördert,...Zeit schon zwei Mal befördert.,en,"promoted, transported, carried, handled",,
anscheinend,"Anscheinend weiß ich nicht, was...",en,"apparent(ly), seeming(ly)",,
soll,"nicht, was ich tun soll",en,should,,
wertvoller,"...ich, „das ist wirklich wertvoller ...“",en,"valuable, worthy",,
adlig,"Natürlich muss er adlig sein, eine gute Arbeit...",en,"noble, aristocratic",,
geträumt,Doktor fragt: „Hast du geträumt,en,dreamt,,
woran auch sonst,Woran auch sonst?,uk,Що ще,,
ziele,"...zusammenarbeiten, können wir unsere Ziele erreichen.",en,"destination, place where one is going, place where something is sent, aim, goal, objective, target, finish",,
anschließen,...falls sich irgend jemand anschließen möchte.,en,"to connect, join, plug, link",,
eilt,Heidi die Tür und eilt in die Hütte,en,"hurry, rush",,
leuchtet,Die Abendsonne leuchtet wunderbar auf die grüne,en,"light, illuminate, light up",,
stürzt,Heidi stürzt glücklich zu ihm hin,en,"v. fall, plunge, stream; rush, dash, move with sudden speed; fling, hurl; overthrow, cause to fall down, remove a person or group of people from power",,
gottesdienst,Nach dem Gottesdienst geht der Alp-Öhi,en,"(der) worship, ritual, veneration, adoration, prayer, idol-worship",,
wegzulaufen,...Bild zu nehmen und wegzulaufen.,en,running away,,
geflohen,"...ist er dann schnell geflohen.""",en,"escaped, fled",,
niedergeschlagen,...Einbrecher hat Ihren Großvater niedergeschlagen. Es dauert nur zwei...,en,knocked down,,
glocken,hören sie die hellen Glocken klingen,en,bells,,
hinterste,der Kirche auf die hinterste Bank,en,Rearmost,,
glänzen,Die Augen des Pfarrers glänzen,en,"v.  burnish, polish; shine, glow, flash, glance, gleam, glean, glitter, radiate, emit light",,
herd,...Frau steht an einem Herd mit einem großen Topf...,en,"(der) stove, cooker",,
eifrig,"zur Schule und lernt eifrig', was da zu lernen",en,"zealously,    enthusiastic,   diligently,      eagerly",,
nebeneinanderstellt,"...man alle drei richtig nebeneinanderstellt, zeigen sie eine Karte.",en,juxtaposing,,
plaudert,Man plaudert noch lange an diesem,en,"chats, prattles, natters",,
anzügen,...starke Männer in schwarzen Anzügen.,en,"suits, outfits of a matching jacket and pants",,
anstrengung,Nach der großen Anstrengung darf Peter meistens zum,en,"exertion, effort, struggle",,
dummheiten,...dass er keine neuen Dummheiten macht.,en,"nonsense, stupidities",,
gemeinsan,"Ja, wir suchen gemeinsan die Vasen.",en,together,,
empfohlen,...hat sie Ihnen Burkhardt empfohlen?“,en,"recommended, advised, suggested",,
nachfahre,"Nein, Sie sind ein Nachfahre von DEM Engländer.",en,descendant,,
vorfahren,Qianlong hat Ihrem Vorfahren eine der drei Vasen...,en,"ancestors, forefathers",,
diebstahl,...Zeitung hat über den Diebstahl in Wien geschrieben.,en,(der) theft,,
klo,"...Küche und auf dem Klo, auf dem Fernseher und...",uk,вбиральня,,
gestorbenen,das das Kind deiner gestorbenen Schwester,en,died,,
genaueres,...aber ich weiß nichts Genaueres über den Schatz und...,en,"adj. accurate, precise, exact, clear, just, fair, equitable, correct; meticulous, exacting, demanding",,
unsterblichkeit,"... liegt die Pille der Unsterblichkeit: Wer sie isst, stirb...",en,(die) Immortality,,
pille,... dem Tisch liegt die Pille der Unsterblichkeit: Wer si...,en,"(die) pill, tablet",,
machen,Machen Sie weiter mit dem...,en,dělat; dělejte,,
schüsselchen,"Brot, Käse und ein Schüsselchen für Heidi und sagt",en,(das) little bowl,,
angelogen,...Vielleicht hat er Sie angelogen und sein Opa ist...,en,lied,,
spült,...aus der Vase und spült sie.,en,"rinses, flushes",,
dünne,"...Stapel, hohe Stapel, dicke, dünne, alte, neue … Bücher.",uk,тонкий,,
gesperrt,...Tiergarten ist heute Abend gesperrt.,en,"blocked, closed",,
schwach,Wir lachen beide etwas schwach.,en,weak,,
bewege,...Ich stehe auf und bewege Hände und Füße.,en,"v. budge, move, shift",,
leihen,"...mir bitte Ihr Handy leihen?“, frage ich.",en,to lend,,
wertvolle,"...Professor Burkhardt, hat drei wertvolle chinesische Vasen gestohlenund ...“",en,valuable,,
bundespolizei,"Bundespolizei Flughafen Berlin-Tegel, hallo...",en,(die) federal police,,
verbinde,...Bitte warten Sie. Ich verbinde Sie mit den Kollegen...,en,", link, join, connect",,
rausholt,"Wenn er die Pistole rausholt, schlage ich ihn nieder.",en,"to get out, to fetch out",,
nieder,"...rausholt, schlage ich ihn nieder.",en,down,,
geschafft,...hätte ich es nicht geschafft.,en,"make, do; manage, handle; create, produce, cause, make happen; work, labor",,
gesicht,wasche ich mir mein Gesicht und putze meine Zähne,en,"face, appearance",,
meinerseits,"Ganz meinerseits, ich freue mich auch...",en,"on my part, for my part",,
schließen,...gehen zur Straße und schließen das Gartentor hinter sich.,en,"close, shut, shut down; conclude, finish",,
herumfahren,weil es nicht mehr herumfahren kann,en,drive around,,
weggeblasen,"hat ihn der Wind weggeblasen?“, antwortet Heidi",en,blown away,,
kehrt,AKT 5 : Die Mumie kehrt zurück,en,turn,,
entsetzt,"lesen?“, ruft Fräulein Rottenmeier entsetzt",en,"appalled, horrified, terrified, very frightened",,
schweig,"Schweig!"", ruft der Großvater",en,"Hold your tongue! [archaic], Be quiet!, Shut up!",,
pfarrer,im März kommt der Pfarrer zu Alp-Öhi,en,"minister, pastor, priest, clergyman,",,
aussprechen,das kann man besser aussprechen,en,"v. pronounce, articulate,",,
heimlich,"…nie, es nimmt sie heimlich mit in sein Zimmer:…",en,secretly,,
buntes,"Großmama hat ein großes, buntes Buch mitgenommen.",en,colorful,,
seit,...aus Spanien und bin seit etwa drei Monaten in...,en,since,,
wirst,Mit der Zeit wirst du die Sprache schon...,en,will,,
witzig,"Witzig! Nein, ich habe ein...",uk,смішно,,
mannomann,"...jetzt?“, fragt er sich. „Mannomann! Gehe ich zu ihr?“",uk,Чоловіче.,,
flecken,"...ganz schwarz, mit einem Flecken auf der Schnauze.",en,"(der, -e) n. dativ spot, blot, stain, taint",,
verfolgen,"...nicht ... Wir können fragen, verfolgen ...“",uk,переслідувати,,
gießt,...ist im Garten. Er gießt die Blumen.,en,"(er/sie/es) v. to pour, water, mould",,
etwa,...Spanien und bin seit etwa drei Monaten in Deutschland.,en,approximately,,
verlassen,Sie verlassen die Arztpraxis und gehen...,en,"to walk out, leave, go away",,
waldrand,...Freund Hans lebt am Waldrand in der Nähe von...,en,"(der, -:er) forest edge, edge of the woods",,
überlege,Bett antwortet sie ich überlege,en,"(ich) ponder, reflect; think; consider, think about, contemplate; chew upon, think over, reflect over a certain issue",,
nehmen,"Sie sagt : "" Bitte nehmen Sie im Wartezimmer Platz.",en,(v.) to take,,
furchtbar,...Eine Explosion ... es ist furchtbar!,en,"appalling, terrible, frightening, horrifying, awful",,
zum teufel,"jetzt zurück... und dann, zum Teufel",uk,до біса,,
gezogen,"...Jahren sind Sie hierher gezogen, wenn ich fragen darf?",en,moved; drawn; taken,,
eifersüchtig,...Franz auf Michael nicht eifersüchtig.,en,"jealous, envious, resentful",,
verlangen,"...die Lehrer von ihr verlangen, Sie interessiert sich nicht...",en,"demand, require",,
hundekämpfen,Ich spreche von Hundekämpfen.“,en,dog fighting,,
fressnäpfe,Sie hat zwei Fressnäpfe in der Hand.,en,"(der, -:e) n. pl. feeding bowls",,
kaninchen,"Ich liebe Katzen, Hunde, Kaninchen, ich liebe sogar Mäuse...",en,"(das, -) n. bunny, rabbit",,
scherzen,"...Hundekämpfen kann man nicht scherzen, das ist klar, Aber...",en,"joke, jest, tell a funny tale, make a witty remark",,
taschentücher,"Eine Flasche Cola, Taschentücher, einen Spiegel, einen Kamm...",en,(das) handkerchiefs,,
kämpfe,...starker Hund: gut für Kämpfe.“,en,Fights,,
stattfinden,"...Ahnung, wo diese Hundekämpfe stattfinden?“",en,"take place, to occur, to happen, to proceed",,
tablet,...Sorge. Ich nehme meinen Tablet-PC mit.“,en,(das) tablet,,
verschaffen,...können wir uns Beweise verschaffen?“,en,"obtain, acquire, gain",,
kampfplatz,"...Wald, wir finden den Kampfplatz, wir sehen Toby, und...",en,"Battlefield, arena, pit like for cock fighting",,
kamm,"...Taschentücher, einen Spiegel, einen Kamm, Handcreme ...“",en,Comb,,
stockdunkel,"Es ist stockdunkel, so können die Männer...",en,pitch black,,
gereizt,"...dumm bin?“, fragt Eva gereizt.",en,"adj.  irritable, grouchy, touchy, irritated, annoyed",,
übernachte,...bei meinem Freund Franz übernachte. Und du?“,en,"v. lodge, stay overnight, stay over, remain",,
fluss,"...ist eine Stadt am Fluss Neckar, ungefähr zehn",en,(der) river,,
voran,...gehen langsam und vorsichtig voran.,en,"forward, before all else",,
beleuchtet,Er beleuchtet den Weg.,en,"alight, lit up, illuminated",,
lichtung,...sie in einer kleinen Lichtung.,en,die: clearing,,
winselt,...zu den Gittern und winselt.,en,whines,,
greif,"...ja, los! Beiß ihn! Greif an!“",en,"greifen v. finger, touch with the fingers, feel, grope, grasp",,
schleichen,Sie schleichen sich durch das Gebüsch.,en,"(sich) sneak, crawl, creep (into)",,
gebüsch,...schleichen sich durch das Gebüsch.,en,"(das) wood, trees",,
rangehen,ich will näher rangehen.“,en,to go for (sth); to work hard at (sth),,
erwischen,...zu gefährlich. Die Typen erwischen dich doch gleich!“,en,"catch, get, nab",,
käfig,"...bin nicht sicher, ... einen Käfig vielleicht.“",en,(der) cage,,
gittern,...Hund kommt zu den Gittern und winselt.,en,"grid, grating, bars, trellis",,
erfrieren,Bist du verrückt? Wir erfrieren hier.“,en,freeze to death,,
verfolgung,Die Verfolgung,en,"(die) pursuit, prosecution, tracking, tracing, persecution",,
stößt,läuft zum Stuhl und stößt ihn den Berg hinunter,en,"push, poke, thrust",,
ruht,...setzen sich und Klara ruht sich aus.,en,"lie, rest, repose, relax, sleep",,
stützen,...und kommt. Die beiden stützen Klara.,en,"hold up, support, prop up",,
gestoßen,...Rollstuhl den Berg hinunter gestoßen!,en,"stoßen = poke, push, thrust",,
spinnst,Spinnst du?! Es ist zu...,en,to freak out; to be crazy; to act/talk foolishly,,
gestützt,...bei den ersten Schritten gestützt haben.,en,"held up, supported",,
zweig,"...sitzt auf einer großen Zweig, Michael sitzt auf einem...",en,"branch, bough, twig, limb, sprig; department, section",,
wahnsinn,"Wahnsinn! Der Wald!“, sagt Michael.",en,"(der) madness, insanity",,
eifersucht,...Rollstuhl weggeblasen hat. Aus Eifersucht. Und jetzt hat er...,en,"(die) jealousness, jealousy, envy, covetousness",,
meint,Anna meint jetzt mein Deutsch besser...,en,"means, says, thinks",,
verstummt,Plötzlich verstummt er.,en,suddenly become silent,,
staunt,"Ich dich umarmen?!“, staunt Eva.",en,"v. past. be astonished, be amazed,",,
handyempfang,Hier gibt es Handyempfang.“,en,Mobile phone reception,,
arger,"...wollte, ich will keinen Arger haben.",en,"trouble, anger, worry",,
angerannt,Toby kommt angerannt.,en,"run up against   /   anrannen  v.  run up against, run into, bump into",,
feldbett,"...ich schlafe auf dem Feldbett im anderen Zimmer“, sagt Herr Braun.",en,das. camp bed,,
gruselig,"...aber auch ein bisschen gruselig“, sagt Michael.",en,"scary, creepy",,
verächtlichen,"...nicht?“, Selina wirft einen verächtlichen Blick auf Michael. „Was...",en,"verächtlich adj. contemptible, despicable, worthy of contempt, derisible, deserving of scorn and ridicule; disparaging, scornful, nasty, derogating",,
unterricht,Mein Unterricht in der Schule beginnt,en,"(der) lesson, classes",,
erschreckt,Ein fürchterlicher Lärm erschreckt sie: ein Blumentopf fällt...,en,"affright, frighten",,
ausgestiegen,ich aus dem Bus ausgestiegen,en,"resign; leave, exit; (i.e. a train, a bus, etc.) get off, disembark from",,
lächelnd,...rein und begrüßt sie lächelnd.,en,"smiling, grinning",,
beim,...ihre Mutter bedanken sich beim Arzt und verabschieden sich.,en,"at, in, on",,
hausaufgaben,Danach mache ich meine Hausaufgaben,en,(die) homework [pl. in German],,
zeitlich,Werde ich alles zeitlich schaffen,en,"in time, timely",,
armes,Mein armes Pferd lief vor lauter...,en,poor,,
verabschieden,...sich beim Arzt und verabschieden sich.,en,"say goodbye, bid farewell",,
stau,zur Arbeit gab es Stau,ru,"(der,  -s) n. затор, пробка сущ",,
bevor,"Ich muss noch aufräumen, bevor meine Freundin kommt",en,"before, preceding, previous",,
begrüßt,Eine Arzthelferin begrüßt sie in der Praxis.,en,"(du // er/ sie/es // ihr) greet, welcome, meet, receive",,
schaue,"Bevor ich schlafen gehe, schaue ich etwas Fernsehen, meistens",en,"(ich) look, look at, watch",,
berichtet,...klingelt das Telefon. Franz berichtet:,en,reported,,
sklaverei,"...es Reichtum, aber auch Sklaverei.",en,die. slavery,,
fasst,Fasst er unter das Telefon?,en,"(er/sie/es) v. catch, capture, trap, get hold of, lay hands on; grab, grasp, understand",,
amüsant,Das Wochenende wird sehr amüsant,en,"amusing, entertaining",,
schachteln,"Und besser als drei Schachteln Zigaretten rauchen, oder?""",en,"(die, pl -n) n. box, package, carton, can",,
öffentliches,...den Schließfächern ist ein öffentliches Telefon.,en,public,,
fraß,...ein Stück Schinken und fraß sich immer tiefer in...,en,"ate, gorged",,
